,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,1.955364179611206,0.2092221644045924,0.00667266845703125,0.0005655752327040609,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,0.40076751708984376,0.23278736138569395,0.004073238372802735,0.0001581263195455837,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.9583333333333334,0.9791666666666666,1.0,0.9791666666666666,1.0,0.9833333333333332,0.015590239111558081,11,1.0,0.998263888888889,1.0,1.0,1.0,0.9996527777777778,0.0006944444444444199,8
2,0.22157187461853028,0.03661960640211473,0.005076980590820313,0.001336588968355083,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.9791666666666666,0.8958333333333334,0.9375,1.0,1.0,0.9625,0.040397332145136064,14,1.0,0.9947916666666666,0.9913194444444444,1.0,1.0,0.9972222222222221,0.0035748715767316107,12
3,1.7647621154785156,0.2871568091863199,0.006114006042480469,0.002004062529205445,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",1.0,1.0,1.0,0.9791666666666666,1.0,0.9958333333333332,0.008333333333333349,5,1.0,1.0,1.0,0.9930555555555556,1.0,0.9986111111111111,0.002777777777777768,10
4,0.3289330005645752,0.18802945814999486,0.004227066040039062,0.0002376982584100901,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.9791666666666666,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.8333333333333334,0.9125,0.06508541396588877,20,1.0,0.9635416666666667,1.0,0.9965277777777778,0.8706597222222221,0.9661458333333334,0.04967826657355398,19
5,0.17635512351989746,0.06427069978759274,0.0037635326385498046,0.00022680490634135043,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.75,0.6458333333333334,0.8125,0.7083333333333334,0.8333333333333334,0.7500000000000001,0.06846531968814576,22,0.7652173913043478,0.7378472222222221,0.9305555555555556,0.7274305555555556,0.9236111111111112,0.8169323671497584,0.090807550908739,22
6,1.787789487838745,0.7934196924801737,0.004889774322509766,0.0007026002960232801,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",1.0,1.0,1.0,0.9791666666666666,1.0,0.9958333333333332,0.008333333333333349,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
7,0.23661293983459472,0.07610566724977094,0.0037240505218505858,0.0001563252571875848,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",1.0,0.6875,0.9583333333333334,1.0,0.9375,0.9166666666666667,0.11711224435462664,19,1.0,0.8055555555555556,1.0,1.0,0.984375,0.9579861111111111,0.07645514803133811,21
8,0.16916303634643554,0.09955380035428708,0.0036698341369628905,0.00011480458413046136,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.5208333333333334,0.7916666666666666,0.8333333333333334,0.5,0.7916666666666666,0.6875,0.1455354099714415,25,0.5,0.9453125,0.9409722222222222,0.5,0.857638888888889,0.7487847222222223,0.20552182765710927,25
9,2.0309147357940676,0.21577264379439978,0.005203437805175781,0.00018732548822075445,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
